FID,OBJECTID,SHAPE,BEZ,STRNAM,HNR,HNR_BIS,FUNDKATEGORIE,FUNDE,DATIERUNG,SE_ANNO_CAD_DATA
FUNDPUNKTEOGD.4548363,4548363,POINT (16.397616011734762 48.194460784545434),3,Landstraßer Hauptstraße,137A,,"Einzel-, Streufund",Münze,Römerzeit,
FUNDPUNKTEOGD.4548364,4548364,POINT (16.394646964415212 48.19680856250522),3,Juchgasse,8,,"Einzel-, Streufund","Münzen, Knopf",Römerzeit,
FUNDPUNKTEOGD.4548365,4548365,POINT (16.38388561684626 48.19699975919714),3,Reisnerstraße,49,51,Siedlungsbefund,"Ziegel, Keramik, Mauerwerk",Römerzeit,
FUNDPUNKTEOGD.4548366,4548366,POINT (16.387319067916117 48.19762982283594),3,Ungargasse,57,63,"Einzel-, Streufund","Straße, Ziegel, Hufeisen",unbekannt,
FUNDPUNKTEOGD.4548367,4548367,POINT (16.38089647191846 48.20029743230273),3,Salesianergasse,4,,"Einzel-, Streufund",Münze,Römerzeit,
FUNDPUNKTEOGD.4548368,4548368,POINT (16.388204883702123 48.19101556102615),,,,,"Einzel-, Streufund",,,
FUNDPUNKTEOGD.4548369,4548369,POINT (16.403766026169524 48.18544196742134),3,Rennweg,,,Grabbefund,"Grab, Keramik",Römerzeit,
FUNDPUNKTEOGD.4548370,4548370,POINT (16.38246961738324 48.18879454293791),3,Landstraßer Gürtel,3,,Siedlungsbefund,"Mauerwerk, Ziegel",Neuzeit,
FUNDPUNKTEOGD.4548371,4548371,POINT (16.359829592381477 48.19232542528662),5,Margaretenstraße,78,80,"Einzel-, Streufund",Münzen,Römerzeit/Neuzeit,
FUNDPUNKTEOGD.4548372,4548372,POINT (16.38008275288363 48.191333959555834),3,Prinz-Eugen-Straße,27,,Siedlungsbefund,"Mauerwerk, Ziegel",Neuzeit,
FUNDPUNKTEOGD.4548373,4548373,POINT (16.357927087105196 48.1914603457164),5,Margaretenplatz,4,,"Einzel-, Streufund",Münzen,Römerzeit,
FUNDPUNKTEOGD.4548374,4548374,POINT (16.36342564265589 48.18649442103276),5,Wiedner Hauptstraße,,,"Einzel-, Streufund",Grenzstein,Neuzeit,
FUNDPUNKTEOGD.4548375,4548375,POINT (16.337681418017574 48.19130807713986),6,Gumpendorfer Straße,,,"Einzel-, Streufund",Keramik,Neuzeit,
FUNDPUNKTEOGD.4548377,4548377,POINT (16.339032838517046 48.18946487582416),6,Mollardgasse,,,Siedlungsbefund,Mauerwerk,unbekannt,
FUNDPUNKTEOGD.4548378,4548378,POINT (16.40443770869648 48.19773712794998),3,Hagenmüllergasse,27,29,Grabbefund,Menschenskelett,unbekannt,
FUNDPUNKTEOGD.4548379,4548379,POINT (16.389118840011292 48.201771047973345),3,Sechskrügelgasse,8,,"Einzel-, Streufund","Steinstele, Münzen",Neuzeit,
FUNDPUNKTEOGD.4548380,4548380,POINT (16.395183832077024 48.203837317708384),3,Parkgasse,,,"Einzel-, Streufund",Kronen,unbekannt,
FUNDPUNKTEOGD.4548381,4548381,POINT (16.385421935453458 48.19045974614655),3,Fasangasse,36,,"Einzel-, Streufund",Münze,Römerzeit,
FUNDPUNKTEOGD.4548382,4548382,POINT (16.395931965864612 48.1945755812674),3,Steingasse,7,,Siedlungsbefund,"Grube, Tierknochen, Keramik",Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548383,4548383,POINT (16.35478748126503 48.196424403423315),6,Magdalenenstraße,2,,Grabbefund,"Menschenskelett, Keramik, Pferdeskelett, Grabstein (18. Jahrhundert), Pieta",Neuzeit,
FUNDPUNKTEOGD.4548384,4548384,POINT (16.355355238667997 48.19837348607717),6,Windmühlgasse,28,,"Einzel-, Streufund","In der Windmühlgasse Nr. 28 (ehem. Geylinghaus, 1969 abgebrochen) wurden Hufeisen, eiserne Kugeln, Säulenkapitell",unbekannt,
FUNDPUNKTEOGD.4548385,4548385,POINT (16.52862987231014 48.20705837283511),22,Eßling,,,"Einzel-, Streufund",Keramik,Urgeschichte,
FUNDPUNKTEOGD.4548386,4548386,POINT (16.449301329870373 48.24811538545352),22,Kagraner Platz,33,,"Einzel-, Streufund",Münzen,Neuzeit,
FUNDPUNKTEOGD.4548387,4548387,POINT (16.36915899488294 48.220460112117294),2,Rembrandtstraße,,,"Einzel-, Streufund",Münze,Neuzeit,
FUNDPUNKTEOGD.4548388,4548388,POINT (16.45369017163568 48.2255556093758),22,Langobardenstraße,,,Siedlungsbefund,Befestigung,Neuzeit,
FUNDPUNKTEOGD.4548389,4548389,POINT (16.411528008873297 48.2147814564016),2,Prater,,,"Einzel-, Streufund",Münze,Römerzeit,
FUNDPUNKTEOGD.4548390,4548390,POINT (16.375719417957107 48.21691018557891),2,Krummbaumgasse,,,"Einzel-, Streufund",Steinstele,Neuzeit,
FUNDPUNKTEOGD.4548391,4548391,POINT (16.38745393786171 48.213389264354134),2,Donaukanal,,,"Einzel-, Streufund",Schwert,unbekannt,
FUNDPUNKTEOGD.4548392,4548392,POINT (16.377861202088738 48.222837503940745),2,Obere Augartenstraße,1,,Siedlungsbefund,Mauerwerk,Neuzeit,
FUNDPUNKTEOGD.4548393,4548393,POINT (16.379895070198987 48.219932915617065),2,Am Augartenspitz,1,,Siedlungsbefund,"Mauerwerk, Brunnen",Neuzeit,
FUNDPUNKTEOGD.4548394,4548394,POINT (16.375669882045027 48.14643421016912),23,Sulzengasse,,,"Einzel-, Streufund",Steinplatten,unbekannt,
FUNDPUNKTEOGD.4548395,4548395,POINT (16.37692714033821 48.22042752693611),2,Malzgasse,16,,Siedlungsbefund,"Mauerwerk, Gedenktafeln, Reliefplatten, liturgisches Gerät, Fliesen, Kacheln, Grabsteinfragemente, Geschirr",Neuzeit,
FUNDPUNKTEOGD.4548396,4548396,POINT (16.374345590823854 48.144240773898524),23,Sulzengasse,,,"Einzel-, Streufund","Münzen, Anhänger",Neuzeit,
FUNDPUNKTEOGD.4548397,4548397,POINT (16.521960364113905 48.213092277936255),22,Eßling,,,Grabbefund,Gräber,Neuzeit,
FUNDPUNKTEOGD.4548398,4548398,POINT (16.4409732122605 48.25467930732063),22,Eipeldauer Straße,,,Siedlungsbefund,"Grube, Keramik, Dreilagenkamm, Bogenfibel",Urgeschichte/Römerzeit,
FUNDPUNKTEOGD.4548399,4548399,POINT (16.450799704512647 48.24827807108963),22,Kagraner Platz,,,"Einzel-, Streufund",Wappenstein,Neuzeit,
FUNDPUNKTEOGD.4548400,4548400,POINT (16.438983168957243 48.257258045625626),22,Donaufeld (Sandgrube Spitzer),,,Siedlungsbefund,"Siedlungsgruben, Keramik, Eisenmesser, Mühlsteine, Dreilagenkamm, Brandgrab, Urne, Hüttenlehm, Mondidol, Schleifstein, Webgewichte",Urgeschichte/Römerzeit,
FUNDPUNKTEOGD.4548401,4548401,POINT (16.45381308669715 48.2552944254495),22,Kagran (Sandgrube Klager II),,,Grabbefund,Grab,unbekannt,
FUNDPUNKTEOGD.4548402,4548402,POINT (16.373252928493987 48.22112482765844),2,Untere Augartenstraße,30,,"Einzel-, Streufund",Keramik,Mittelalter,
FUNDPUNKTEOGD.4548403,4548403,POINT (16.2444854287268 48.14865297998861),23,Antonshöhe,,,Siedlungsbefund,"Siedlungsbefunde, Keramik, Tierknochen, Steingeräte, Hüttenlehm",Urgeschichte,
FUNDPUNKTEOGD.4548404,4548404,POINT (16.377692646105082 48.223563297968575),2,Obere Augartenstraße,1,,Siedlungsbefund,Mauerwerk,Neuzeit,
FUNDPUNKTEOGD.4548405,4548405,POINT (16.24452081850514 48.14874819344765),23,Antonshöhe,,,"Einzel-, Streufund","menschliche Skelettreste, Keramik, Knochenwerkzeuge, Hirschgeweihhaken, Klopfsteine, Steinbeile",Urgeschichte,
FUNDPUNKTEOGD.4548406,4548406,POINT (16.37987029740981 48.213474237772374),2,Taborstraße,8,,Grabbefund,"Menschliche Skelette, Münzen, Metallobjekte, Tierknochen, Stoffreste, Lederreste",Neuzeit,
FUNDPUNKTEOGD.4548407,4548407,POINT (16.397284582883994 48.210679440738915),2,Böcklinstraße,,,"Einzel-, Streufund","Keramik, Tierknochen",Mittelalter,
FUNDPUNKTEOGD.4548408,4548408,POINT (16.442899029744595 48.188790006113464),2,,,,Siedlungsbefund,"Keramik, Knochen",Mittelalter,
FUNDPUNKTEOGD.4548409,4548409,POINT (16.388416889040336 48.22199347533826),2,Fugbachgasse,17,,"Einzel-, Streufund",Tierknochen,Neuzeit,
FUNDPUNKTEOGD.4548410,4548410,POINT (16.47862708778506 48.26853816560971),22,Kagran,,,Siedlungsbefund,"Gruben, Gräbchen",unbekannt,
FUNDPUNKTEOGD.4548411,4548411,POINT (16.4220305795602 48.191051371863026),2,Wasserwiese,,,"Einzel-, Streufund",Keramik,Neuzeit,
FUNDPUNKTEOGD.4548412,4548412,POINT (16.37983270398521 48.21599094788676),2,Taborstraße,,,"Einzel-, Streufund",Statuen,Neuzeit,
FUNDPUNKTEOGD.4548413,4548413,POINT (16.394836722216283 48.21228872156291),2,Schüttelstraße,11,,Siedlungsbefund,"Keramik, Holzpfosten",Neuzeit,
FUNDPUNKTEOGD.4548414,4548414,POINT (16.388055820328983 48.2141525717128),2,Untere Donaustraße,41,,"Einzel-, Streufund","Menschenskelette, Tierknochen",unbekannt,
FUNDPUNKTEOGD.4548376,4548376,POINT (16.337843084581884 48.19123035521084),6,Gumpendorfer Straße,,,Siedlungsbefund,Mörtelbelag,Römerzeit,
FUNDPUNKTEOGD.4548002,4548002,POINT (16.41737412555252 48.13042693372915),10,Am Johannisberg,,,Siedlungsbefund,Pfostenlöcher,Römerzeit,
FUNDPUNKTEOGD.4548003,4548003,POINT (16.35430937570458 48.22063071043645),9,Währinger Straße,43,,Grabbefund,"Gräber, Sargreste, menschliche Skelette",Neuzeit,
FUNDPUNKTEOGD.4548004,4548004,POINT (16.35343968120587 48.22017792907428),9,Sensengasse,1,3,Grabbefund,"menschliche Skelette, Bronzekreuze, Schmuck, Trachtbestandteile, Keramik, Mauerwerk",Neuzeit,
FUNDPUNKTEOGD.4548005,4548005,POINT (16.373870386146354 48.21288435861213),1,Salzgries,2,,Siedlungsbefund,"Holzpiloten, Steinpflaster, Bastionsmauer",Neuzeit,
FUNDPUNKTEOGD.4548006,4548006,POINT (16.366601997237197 48.20346582891099),1,Opernring,10,,Siedlungsbefund,Minengänge,Neuzeit,
FUNDPUNKTEOGD.4548007,4548007,POINT (16.367049509057406 48.18254586832988),10,Landgutgasse,,,Grabbefund,"Gräber, Kruzifixe, Rosenkränze, Pressblechschmuck, Luftschutzanlage, Luftschutzbunker",Neuzeit,
FUNDPUNKTEOGD.4548008,4548008,POINT (16.374157524474647 48.20528005693909),1,Himmelpfortgasse,14,16,Siedlungsbefund,"Mauerwerk, Tierknochen, Keramik",Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548009,4548009,POINT (16.368232173592432 48.211731396434146),1,Am Hof,10,11,Siedlungsbefund,"Hüttenlehm, Tierknochen, Ziegel, Keramik, Schere, Marmorstück",Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4548010,4548010,POINT (16.373050986783532 48.21072710755974),1,Hoher Markt,,,Siedlungsbefund,"Mauerwerk, Estriche, Grab, Keramik, Ziegel, Kanalgitterstein",Römerzeit/Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548011,4548011,POINT (16.382678029141324 48.20839722940847),1,Oskar-Kokoschka-Platz,2,,Siedlungsbefund,"Kanal, Keramik, Schmelztiegel, Tierknochen, Ziegel",Römerzeit/Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548012,4548012,POINT (16.36780592459297 48.210515029384965),1,Bognergasse,,,Siedlungsbefund,"Legionslagermauer, Mauerwerk, Ziegel, Keramik, Metall, Pferdegeschirrbeschlag",Römerzeit/Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548013,4548013,POINT (16.368558549588975 48.215827442777844),1,Zelinkagasse,2,6,Siedlungsbefund,"Mauerwerk, Kanal, Kontereskarpe, Minengang, Pulverkammer",Neuzeit,
FUNDPUNKTEOGD.4548014,4548014,POINT (16.40761991045582 48.186975440607675),3,Litfaßstraße,,,Siedlungsbefund,"Menschenskelette, Straße",unbekannt,
FUNDPUNKTEOGD.4548015,4548015,POINT (16.362047025167733 48.19735276207719),4,Rechte Wienzeile,25,27,"Einzel-, Streufund",Münzen,Mittelalter?,
FUNDPUNKTEOGD.4548016,4548016,POINT (16.370390228567054 48.197796265446335),4,Karlsgasse,,,Grabbefund,"Menschenknochen, Medaille",Neuzeit,
FUNDPUNKTEOGD.4548017,4548017,POINT (16.38651267017334 48.195876515596304),3,Ungargasse,69,,"Einzel-, Streufund","Ziegel, Keramik, Tierknochen",Römerzeit,
FUNDPUNKTEOGD.4548018,4548018,POINT (16.39341065582827 48.19288725060253),3,Steingasse,,,"Einzel-, Streufund","Münze, Keramik",Römerzeit,
FUNDPUNKTEOGD.4548019,4548019,POINT (16.367606508678556 48.21082446877329),1,Am Hof,2,5,Siedlungsbefund,"Keramik, Ziegel mit Stempel (10. Legion)",Neuzeit,
FUNDPUNKTEOGD.4548020,4548020,POINT (16.376960346235 48.21151562385174),1,Hafnersteig,2,4,Siedlungsbefund,Mauerwerk,unbekannt,
FUNDPUNKTEOGD.4548021,4548021,POINT (16.38373611538322 48.19595270246034),3,Reisnerstraße,59,61,Siedlungsbefund,Ziegel,,
FUNDPUNKTEOGD.4548022,4548022,POINT (16.383137031486545 48.19543085542539),3,Rennweg,12a,,Siedlungsbefund,"Straße, Mauerwerk, Münzen, Ziegel, Terra Sigillata, Keramik, Fibula aus Kupfer, Terra Nigra, Kupferplättchen, Knochen, Eisen",Urgeschichte/Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4548023,4548023,POINT (16.383462060612096 48.19512083299177),3,Rennweg,12,14,Siedlungsbefund,"Keramik, Glas, Ziegel, Terra Sigillata, Lampen, Terra Nigra, Wandmalerei, Münzen, Säule, Glocke aus Kupfer, verschiedene Kupfergegenstände, Fibula, Votivtafel aus Blei, Nägel, Ketten aus Eisen, Knochen, Stilus aus Eisen, Mauerwerk, Straße",Römerzeit,
FUNDPUNKTEOGD.4548024,4548024,POINT (16.400690943034085 48.18825210382375),3,Rennweg,95a,,Siedlungsbefund,"Straße, Ziegelfußboden",Römerzeit,
FUNDPUNKTEOGD.4548025,4548025,POINT (16.395387316228963 48.19215159058165),3,Oberzellergasse,4,,Siedlungsbefund,"Estriche, Münzen, Keramik",Römerzeit,
FUNDPUNKTEOGD.4548026,4548026,POINT (16.38797094684421 48.19354715735821),3,Obere Bahngasse,2,10,"Einzel-, Streufund",,Urgeschichte,
FUNDPUNKTEOGD.4548027,4548027,POINT (16.38832285521695 48.2047385118145),3,Landstraßer Hauptstraße,19,,"Einzel-, Streufund",Münze,Römerzeit/Neuzeit,
FUNDPUNKTEOGD.4548028,4548028,POINT (16.39258508370452 48.20060265229716),3,Landstraßer Hauptstraße,80,,"Einzel-, Streufund",Glas,unbekannt,
FUNDPUNKTEOGD.4548029,4548029,POINT (16.386258503237517 48.20633567379082),3,Landstraßer Hauptstraße,3,5,"Einzel-, Streufund","Keramik, Metall",Mittelalter,
FUNDPUNKTEOGD.4548030,4548030,POINT (16.361758551623616 48.20983170294019),1,Josef-Meinrad-Platz,,,Siedlungsbefund,"Löwelbastion, Mauerwerk, Ziegel",Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548031,4548031,POINT (16.3395243490444 48.21509656404859),17,Ottakringer Straße,10,22,Siedlungsbefund,Mauerwerk,Neuzeit,
FUNDPUNKTEOGD.4548032,4548032,POINT (16.358400929140856 48.20060970655735),6,Theobaldgasse,,,Siedlungsbefund,"Brunnen, Lampe",Neuzeit,
FUNDPUNKTEOGD.4548033,4548033,POINT (16.367215862827024 48.21081905322131),1,Am Hof,4,,Siedlungsbefund,"Ziegel, Keramik, Kanal",Römerzeit,
FUNDPUNKTEOGD.4548034,4548034,POINT (16.47256917381049 48.155112201023115),11,Dreherstraße,23,,Grabbefund,menschliche Knochen,unbekannt,
FUNDPUNKTEOGD.4548035,4548035,POINT (16.502003423980195 48.225858971654084),22,Seestadt Aspern,,,Siedlungsbefund,"Gruben, Steinobjekte, Hüttenlehm, Keramik, Tierknochen, Gräber, Menschenskelette, Pferdeskelette, Bleikugeln, Knöpfe aus Knochen und Messing, Gürtelschnalle",Urgeschichte/Neuzeit,
FUNDPUNKTEOGD.4548036,4548036,POINT (16.26347594785825 48.18482763965804),13,Mariensteig,1,,Grabbefund,Menschenskelette,Neuzeit,
FUNDPUNKTEOGD.4548037,4548037,POINT (16.503794708300774 48.2241910851643),22,Seestadt Aspern,,,Siedlungsbefund,"Gruben, Urnengräber, Keramik",Urgeschichte/Neuzeit,
FUNDPUNKTEOGD.4548038,4548038,POINT (16.36695755531836 48.2109824935275),1,Am Hof,2,8,Siedlungsbefund,"Ziegel, Mauerwerk",Römerzeit,
FUNDPUNKTEOGD.4548039,4548039,POINT (16.499698509735367 48.24253049027566),22,Lackenjöchelgasse,,,"Einzel-, Streufund",Keramik,Mittelalter,
FUNDPUNKTEOGD.4548040,4548040,POINT (16.37617480529443 48.211765704658184),1,Franz-Josefs-Kai,,,"Einzel-, Streufund",Keramik,Römerzeit/Neuzeit,
FUNDPUNKTEOGD.4548041,4548041,POINT (16.39395041435843 48.1926777076073),3,Rennweg,79,81,Siedlungsbefund,"Brandgräber, Öfen, Ziegel, Keramik, Terra Sigillata, Tierknochen",Römerzeit,
FUNDPUNKTEOGD.4548042,4548042,POINT (16.37518297402892 48.21155909397288),1,Rabensteig,3,,Siedlungsbefund,"Mauerwerk, Graben",Römerzeit/Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548043,4548043,POINT (16.383638798048374 48.27223772045835),21,Audorfgasse,47,,Grabbefund,"Gräber, menschliche Skelette, Rosenkranzperlen, Sargbeschläge",Neuzeit,
FUNDPUNKTEOGD.4548044,4548044,POINT (16.211159038737662 48.262738536644044),14,Tullner Straße,,,"Einzel-, Streufund",Meilenstein,Römerzeit,
FUNDPUNKTEOGD.4548045,4548045,POINT (16.466965989301567 48.153634774703356),11,Csokorgasse,,,Siedlungsbefund,"Körpergräber, Gruben, Bronzering, Keramik",Urgeschichte/Mittelalter,
FUNDPUNKTEOGD.4548046,4548046,POINT (16.223736519947302 48.1268553276672),23,Eichkogel,,,"Einzel-, Streufund",Keramik,Urgeschichte,
FUNDPUNKTEOGD.4548047,4548047,POINT (16.366286095530054 48.2139960725391),1,Börseplatz,1,,Siedlungsbefund,"Mauerwerk, Ziegelfußböden",Neuzeit,
FUNDPUNKTEOGD.4548048,4548048,POINT (16.46607445931994 48.15263798742341),11,Csokorgasse,,,Siedlungsbefund,"Körpergräber, Brandgräber, Keramik, Tierknochen, Hüttenlehm",Urgeschichte/Mittelalter,
FUNDPUNKTEOGD.4548049,4548049,POINT (16.377028960026013 48.211133504731286),1,Griechengasse,5,,Siedlungsbefund,"Kachel, Keramik, Knochen, Schlacke, Ofen, Mauerwerk",Mittelalter,
FUNDPUNKTEOGD.4548050,4548050,POINT (16.36711715767134 48.181775793157016),10,Landgutgasse,38,,Grabbefund,"Grabfunde, Skelettreste",Neuzeit,
FUNDPUNKTEOGD.4548051,4548051,POINT (16.358777111420693 48.21491851265152),9,Rooseveltplatz,2,3,Siedlungsbefund,(Straßen?-)Schotter,Neuzeit,
FUNDPUNKTEOGD.4548052,4548052,POINT (16.501644038520542 48.22432234535077),22,Seestadt Aspern,,,Siedlungsbefund,"Gruben, Pfostenlöcher, Gräber (Pferde), Schanzanlage, Keramik",Urgeschichte/Neuzeit,
FUNDPUNKTEOGD.4548053,4548053,POINT (16.365456930548245 48.21438068382405),1,Schottenbastei,,,Siedlungsbefund,Mauerwerk,Neuzeit,
FUNDPUNKTEOGD.4548054,4548054,POINT (16.365104859935776 48.21472708361887),1,Hohenstaufengasse,,,Siedlungsbefund,Mauerwerk,Neuzeit,
FUNDPUNKTEOGD.4548055,4548055,POINT (16.366874997129095 48.2142013664729),1,Börseplatz,,,Siedlungsbefund,Mauerwerk,Neuzeit,
FUNDPUNKTEOGD.4548056,4548056,POINT (16.364689298982643 48.21393786251064),1,Helferstorferstraße,9,15,Siedlungsbefund,Mauerwerk,Neuzeit,
FUNDPUNKTEOGD.4548057,4548057,POINT (16.36546708452158 48.21434776608384),1,Hohenstaufengasse,,,Siedlungsbefund,Mauerwerk,Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548058,4548058,POINT (16.374996616377064 48.20773398186211),1,Domgasse,6,,"Einzel-, Streufund",Keramik,Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548059,4548059,POINT (16.37103127696905 48.20574848027417),1,Kärntnerstraße,22,,"Einzel-, Streufund",Steinkugel,Neuzeit?,
FUNDPUNKTEOGD.4548060,4548060,POINT (16.372854305428984 48.210621545226616),1,Hoher Markt,2,,Grabbefund,"Grabstein, Steinbüste",Römerzeit/Neuzeit,
FUNDPUNKTEOGD.4548061,4548061,POINT (16.379948741001193 48.20861206183428),1,Dominikanerbastei,2,12,Siedlungsbefund,"Grubenverfüllung, Mauerwerk, Keramik, Glas, Ziegel",Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548062,4548062,POINT (16.398163699692827 48.14503814987896),23,Laaer-Berg-Straße,,,Grabbefund,"Keramik, Münze, Menschenskelett, Grab",Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4548063,4548063,POINT (16.39218274128211 48.20318609157233),3,Rasumofskygasse,29,31,Siedlungsbefund,"Graben, Brunnen, Gruben, Grubenhaus, Pfostenlöcher, Feuerstellen, Ziegelmauern",Urgeschichte/Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548064,4548064,POINT (16.3717266750941 48.211978661284135),1,Salvatorgasse,3,7,Siedlungsbefund,"Planierschicht, Abbruchhorizont, Mauerwerk, Keramik",Römerzeit/Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548065,4548065,POINT (16.393036171791472 48.19322986333556),3,Rennweg,73,,Siedlungsbefund,"Gräbchen, Gruben, Pfostenlöcher, Schacht, Pfostengruben, Feuerstellen, Keramik, Metallfunde, Beinartefakte",Römerzeit/Neuzeit,
FUNDPUNKTEOGD.4548066,4548066,POINT (16.397072508248556 48.1903809285628),3,Rennweg,88,90,Siedlungsbefund,"Gruben, Graben, Mauerwerk, Straßenschotterungen, Keramik, Tierknochen, Glas, Metallfunde",Römerzeit/Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548067,4548067,POINT (16.3261004767987 48.13779855397269),23,Triester Straße,246,248,Grabbefund,"Brandgrab, Urne, Flügelfibel",Römerzeit,
FUNDPUNKTEOGD.4548068,4548068,POINT (16.372215859121315 48.208261189508235),1,Stephansplatz,,,Siedlungsbefund,Mauerwerk,Mittelalter,
FUNDPUNKTEOGD.4548069,4548069,POINT (16.279326954728734 48.133741415143284),23,Perchtoldsdorfer Straße,6,,Siedlungsbefund,"Keramik, Architekturfragmente, Mauerwerk",Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548070,4548070,POINT (16.36923610097354 48.21086937287538),1,Schulhof,,,Siedlungsbefund,"Planierschichten, Mauerwerk, Brandschicht, Straßenschotterungen, menschliches Skelett",Römerzeit/Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548071,4548071,POINT (16.38459334906253 48.19652361282519),3,Rennweg,31,33,"Einzel-, Streufund",Keramik,Römerzeit/Neuzeit,
FUNDPUNKTEOGD.4548072,4548072,POINT (16.37050045800337 48.19840877083646),4,Karlsplatz,13,,Grabbefund,"menschliche Skelette, Mauerwerk",Neuzeit,
FUNDPUNKTEOGD.4548073,4548073,POINT (16.37524125898388 48.20544041129828),1,Seilerstätte,1,9,Siedlungsbefund,"Zeughaus, spätmittelalterliche Stadtmauer",Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548074,4548074,POINT (16.399201602939605 48.142711498465104),10,Fontanastraße,,,Siedlungsbefund,Mauerwerk,Neuzeit,
FUNDPUNKTEOGD.4548075,4548075,POINT (16.37076560480593 48.19640845146678),4,Gußhausstraße,25,27,Siedlungsbefund,"Mauerwerk, Keramik",Neuzeit,
FUNDPUNKTEOGD.4548076,4548076,POINT (16.386050135904036 48.20320036628878),3,Beatrixgasse,11,,Siedlungsbefund,"Gruben, Ziegelbrunnen, Keramik, Tierknochen, menschliche Skelttreste",Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548077,4548077,POINT (16.36876536223457 48.20511311797866),1,Führichgasse,8,12,Siedlungsbefund,"Mauerwerk, Ziegel",Neuzeit,
FUNDPUNKTEOGD.4548078,4548078,POINT (16.502287898861443 48.22294941419166),22,Seestadt Aspern,,,Siedlungsbefund,"Flughafeneinbauten, Gruben, Keramik, Tierknochen, Bronzeartefakte",Urgeschichte/Neuzeit,
FUNDPUNKTEOGD.4548079,4548079,POINT (16.363009124320822 48.2236833656582),9,Seegasse,9,11,Grabbefund,"Friedhof, Grabsteine",Neuzeit,
FUNDPUNKTEOGD.4548080,4548080,POINT (16.379219553549678 48.18637141499498),10,Wiedner Gürtel,1,,Siedlungsbefund,"Mauerwerk, Architekturteile",Neuzeit,
FUNDPUNKTEOGD.4548081,4548081,POINT (16.365609181120654 48.20785511381605),1,Michaelerplatz,1,,Siedlungsbefund,"Mauerwerk, Brunnen, Pflasterung",Römerzeit/Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548082,4548082,POINT (16.380441217583268 48.1861791424858),10,Hauptbahnhof,,,Siedlungsbefund,"Mauerwerk, Ziegel, Architekturteile",Neuzeit,
FUNDPUNKTEOGD.4548083,4548083,POINT (16.29448327034034 48.1474441858598),23,Kirchenplatz,1,,Siedlungsbefund,Mauerwerk,Neuzeit,
FUNDPUNKTEOGD.4548084,4548084,POINT (16.525506361186014 48.20439860586881),22,Mühlhäufelgasse,43,43A,"Einzel-, Streufund","Musketenkugeln, Uniformknöpfe, Pfeifendeckelhaltering",Neuzeit,
FUNDPUNKTEOGD.4548085,4548085,POINT (16.35358153919151 48.19883637199309),6,Barnabitengasse,12A,,Siedlungsbefund,Mauerwerk,Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548086,4548086,POINT (16.366420769818752 48.20723178056276),1,Reitschulgasse,1,,Siedlungsbefund,Mauerwerk,Neuzeit,
FUNDPUNKTEOGD.4548087,4548087,POINT (16.37256597441326 48.20466209025467),1,Johannesgasse,6,,Siedlungsbefund,Mauerwerk,Neuzeit,
FUNDPUNKTEOGD.4548088,4548088,POINT (16.364603168487257 48.211099814637436),1,Herrengasse,19,21,Siedlungsbefund,"Mauerwerk, Keramik, Kacheln",Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4548089,4548089,POINT (16.322913387797772 48.216289999497924),17,Wilhelminenstraße,6,,Siedlungsbefund,"Planierschichten, Keramik",Neuzeit,
FUNDPUNKTEOGD.4548090,4548090,POINT (16.372241698262947 48.20413643957736),1,Annagasse,12,,Siedlungsbefund,Mauerwerk,Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548091,4548091,POINT (16.36194187127397 48.25826924090083),19,Kahlenberger Straße,26,,"Einzel-, Streufund","Pflanzenabdeckungen, Hohldeckel, Tränkegefäß, Steinzeugkrug",Neuzeit,
FUNDPUNKTEOGD.4548092,4548092,POINT (16.37370534106612 48.20884084697258),1,Stephansplatz,7,,Siedlungsbefund,Mauerwerk,Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4548093,4548093,POINT (16.372797689357213 48.20476357708427),1,Johannesgasse,8,,Siedlungsbefund,"Mauerwerk, Brunnen",Mittelalter,
FUNDPUNKTEOGD.4548094,4548094,POINT (16.378221683102 48.227993287033435),2,Augarten,,,"Einzel-, Streufund",Dokumente,Neuzeit,
